date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:24	21156/21156	---M-Z	200	added ('OK')	text/html	etag:%2252a4-61d25054442af-gzip%22	https://babai.in.ua/jonathan/	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/index.html	(from )
14:11:25	169/169	---MC-	200	added ('OK')	text/plain	date:Wed,%2022%20Oct%202025%2019:10:40%20GMT	https://babai.in.ua/robots.txt		(from )
14:11:25	1610/1610	---M--	200	added ('OK')	image/png	etag:%2264a-61d25056864a0%22	https://babai.in.ua/jonathan/img/favicon.png	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/favicon.png	(from https://babai.in.ua/jonathan/)
14:11:27	232803/232803	---M--	200	added ('OK')	text/css	etag:%2238d63-61d2505517591%22	https://babai.in.ua/jonathan/css/bootstrap.min.css	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/css/bootstrap.min.css	(from https://babai.in.ua/jonathan/)
14:11:27	103009/103009	---M--	200	added ('OK')	text/css	etag:%2219261-61d2505549e28%22	https://babai.in.ua/jonathan/css/fontawesome.min.css	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/css/fontawesome.min.css	(from https://babai.in.ua/jonathan/)
14:11:28	2096/2096	---M--	200	added ('OK')	text/css	etag:%22830-61d250555f5e8%22	https://babai.in.ua/jonathan/css/tiny-slider.css	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/css/tiny-slider.css	(from https://babai.in.ua/jonathan/)
14:11:28	26053/26053	---M--	200	added ('OK')	text/css	etag:%2265c5-61d250550392a%22	https://babai.in.ua/jonathan/css/aos.css	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/css/aos.css	(from https://babai.in.ua/jonathan/)
14:11:29	12760/12760	---M--	200	added ('OK')	text/css	etag:%2231d8-61d7508a09819%22	https://babai.in.ua/jonathan/css/style.css	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/css/style.css	(from https://babai.in.ua/jonathan/)
14:11:29	34677/34677	---M--	200	added ('OK')	image/jpeg	etag:%228775-61d25056e968e%22	https://babai.in.ua/jonathan/img/photo3.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/photo3.jpg	(from https://babai.in.ua/jonathan/)
14:11:30	63917/63917	---M--	200	added ('OK')	image/jpeg	etag:%22f9ad-61d2505728274%22	https://babai.in.ua/jonathan/img/portfolio1.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/portfolio1.jpg	(from https://babai.in.ua/jonathan/)
14:11:30	64281/64281	---M--	200	added ('OK')	image/jpeg	etag:%22fb19-61d25057243f4%22	https://babai.in.ua/jonathan/img/portfolio2.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/portfolio2.jpg	(from https://babai.in.ua/jonathan/)
14:11:31	61255/61255	---M--	200	added ('OK')	image/jpeg	etag:%22ef47-61d250575e98b%22	https://babai.in.ua/jonathan/img/portfolio3.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/portfolio3.jpg	(from https://babai.in.ua/jonathan/)
14:11:31	83003/83003	---M--	200	added ('OK')	image/jpeg	etag:%221443b-61d25057662a3%22	https://babai.in.ua/jonathan/img/portfolio4.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/portfolio4.jpg	(from https://babai.in.ua/jonathan/)
14:11:32	78747/78747	---M--	200	added ('OK')	image/jpeg	etag:%221339b-61d250579be01%22	https://babai.in.ua/jonathan/img/portfolio5.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/portfolio5.jpg	(from https://babai.in.ua/jonathan/)
14:11:33	53127/53127	---M--	200	added ('OK')	image/jpeg	etag:%22cf87-61d25057a2b61%22	https://babai.in.ua/jonathan/img/portfolio6.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/portfolio6.jpg	(from https://babai.in.ua/jonathan/)
14:11:34	45922/45922	---M--	200	added ('OK')	image/jpeg	etag:%22b362-61d25057dbd70%22	https://babai.in.ua/jonathan/img/portfolio8.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/portfolio8.jpg	(from https://babai.in.ua/jonathan/)
14:11:34	74839/74839	---M--	200	added ('OK')	image/jpeg	etag:%2212457-61d25057da9e8%22	https://babai.in.ua/jonathan/img/portfolio7.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/portfolio7.jpg	(from https://babai.in.ua/jonathan/)
14:11:35	33552/33552	---M--	200	added ('OK')	image/jpeg	etag:%228310-61d25058147ae%22	https://babai.in.ua/jonathan/img/portfolio9.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/portfolio9.jpg	(from https://babai.in.ua/jonathan/)
14:11:35	12538/12538	---M--	200	added ('OK')	image/jpeg	etag:%2230fa-61d250583996d%22	https://babai.in.ua/jonathan/img/user02.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/user02.jpg	(from https://babai.in.ua/jonathan/)
14:11:35	11764/11764	---M--	200	added ('OK')	image/jpeg	etag:%222df4-61d250583d7ed%22	https://babai.in.ua/jonathan/img/user03.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/user03.jpg	(from https://babai.in.ua/jonathan/)
14:11:36	20122/20122	---M-Z	200	added ('OK')	application/javascript	etag:W/%224e9a-hx1u8QcL02PqOQ4MjDhOR9zn84k%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.11.8/dist/umd/popper.min.js	C:/Users/CS130/marimar/Portafolio1/cdn.jsdelivr.net/npm/@popperjs/core@2.11.8/dist/umd/popper.min.js	(from https://babai.in.ua/jonathan/)
14:11:36	87533/87533	---M--	200	added ('OK')	application/javascript	etag:%22155ed-61d250592a4f7%22	https://babai.in.ua/jonathan/js/jquery-3.7.1.min.js	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/js/jquery-3.7.1.min.js	(from https://babai.in.ua/jonathan/)
14:11:36	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213b51-3cbp6tbRaukjc5nOQejBYgzFnDY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	C:/Users/CS130/marimar/Portafolio1/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	(from https://babai.in.ua/jonathan/)
14:11:37	1417/1417	---M--	200	added ('OK')	application/javascript	etag:%22589-61d250594d776%22	https://babai.in.ua/jonathan/js/scrollIt.min.js	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/js/scrollIt.min.js	(from https://babai.in.ua/jonathan/)
14:11:37	11748/11748	---M--	200	added ('OK')	application/javascript	etag:%222de4-61d25059738d6%22	https://babai.in.ua/jonathan/js/typed.min.js	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/js/typed.min.js	(from https://babai.in.ua/jonathan/)
14:11:38	9028/9028	---M--	200	added ('OK')	application/javascript	etag:%222344-61d2505920ca0%22	https://babai.in.ua/jonathan/js/jquery.waypoints.min.js	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/js/jquery.waypoints.min.js	(from https://babai.in.ua/jonathan/)
14:11:38	2181/2181	---M--	200	added ('OK')	application/javascript	etag:%22885-61d25058fbec9%22	https://babai.in.ua/jonathan/js/counterup.min.js	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/js/counterup.min.js	(from https://babai.in.ua/jonathan/)
14:11:39	31911/31911	---M--	200	added ('OK')	application/javascript	etag:%227ca7-61d2505977f25%22	https://babai.in.ua/jonathan/js/tiny-slider.js	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/js/tiny-slider.js	(from https://babai.in.ua/jonathan/)
14:11:39	14243/14243	---M--	200	added ('OK')	application/javascript	etag:%2237a3-61d25058d8479%22	https://babai.in.ua/jonathan/js/aos.js	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/js/aos.js	(from https://babai.in.ua/jonathan/)
14:11:39	3555/3555	---M--	200	added ('OK')	application/javascript	etag:%22de3-61d2513287f7b%22	https://babai.in.ua/jonathan/js/main.js	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/js/main.js	(from https://babai.in.ua/jonathan/)
14:11:40	108000/108000	---M--	200	added ('OK')	text/html	etag:%221a5e0-61d2505bb2fcf%22	https://babai.in.ua/jonathan/webfonts/fa-brands-400.woff2	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/webfonts/fa-brands-400.html	(from https://babai.in.ua/jonathan/css/fontawesome.min.css)
14:11:40	187448/187448	---M--	200	added ('OK')	application/x-font-ttf	etag:%222dc38-61d2505ba744f%22	https://babai.in.ua/jonathan/webfonts/fa-brands-400.ttf	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/webfonts/fa-brands-400.ttf	(from https://babai.in.ua/jonathan/css/fontawesome.min.css)
14:11:41	24840/24840	---M--	200	added ('OK')	text/html	etag:%226108-61d2505bf0446%22	https://babai.in.ua/jonathan/webfonts/fa-regular-400.woff2	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/webfonts/fa-regular-400.html	(from https://babai.in.ua/jonathan/css/fontawesome.min.css)
14:11:41	63728/63728	---M--	200	added ('OK')	application/x-font-ttf	etag:%22f8f0-61d2505bfa085%22	https://babai.in.ua/jonathan/webfonts/fa-regular-400.ttf	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/webfonts/fa-regular-400.ttf	(from https://babai.in.ua/jonathan/css/fontawesome.min.css)
14:11:41	149908/149908	---M--	200	added ('OK')	text/html	etag:%2224994-61d2505cc1bd0%22	https://babai.in.ua/jonathan/webfonts/fa-solid-900.woff2	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/webfonts/fa-solid-900.html	(from https://babai.in.ua/jonathan/css/fontawesome.min.css)
14:11:42	4536/4536	---M--	200	added ('OK')	text/html	etag:%2211b8-61d2505ca6269%22	https://babai.in.ua/jonathan/webfonts/fa-v4compatibility.woff2	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/webfonts/fa-v4compatibility.html	(from https://babai.in.ua/jonathan/css/fontawesome.min.css)
14:11:42	10172/10172	---M--	200	added ('OK')	application/x-font-ttf	etag:%2227bc-61d2505c7e99a%22	https://babai.in.ua/jonathan/webfonts/fa-v4compatibility.ttf	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/webfonts/fa-v4compatibility.ttf	(from https://babai.in.ua/jonathan/css/fontawesome.min.css)
14:11:42	394832/394832	---M--	200	added ('OK')	application/x-font-ttf	etag:%2260650-61d2505c4e42b%22	https://babai.in.ua/jonathan/webfonts/fa-solid-900.ttf	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/webfonts/fa-solid-900.ttf	(from https://babai.in.ua/jonathan/css/fontawesome.min.css)
14:11:43	117999/117999	---M--	200	added ('OK')	image/jpeg	etag:%221ccef-61d250560811b%22	https://babai.in.ua/jonathan/img/bg-header.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/bg-header.jpg	(from https://babai.in.ua/jonathan/css/style.css)
14:11:43	187027/187027	---M--	200	added ('OK')	image/jpeg	etag:%222da93-61d2505679981%22	https://babai.in.ua/jonathan/img/bg-statistics.jpg	C:/Users/CS130/marimar/Portafolio1/babai.in.ua/jonathan/img/bg-statistics.jpg	(from https://babai.in.ua/jonathan/css/style.css)
